claim,label,language,source,url
"images, cartoons, memes, objects, gestures and symbols",MISLEADING,en,altnews,https://www.altnews.in/alt-news-policy-on-hate-speech/
"What the Data Shows: 39,604 Voters in Limbo",MISLEADING,en,altnews,https://www.altnews.in/bengal-sir-the-wall-eci-built-around-electoral-data-and-how-we-broke-through-it/
1. Flag of Indian Union Muslim League posted as Pakistani flag at a Congress rally,MISLEADING,en,altnews,https://www.altnews.in/facebook-page-bjp-all-india-serial-purveyor-of-fake-news/
‘तार्किक विसंगति’: भारतीय चुनावी इतिहास में एक अभूतपूर्व अवधारणा,MISLEADING,hi,altnews,https://www.altnews.in/hindi/bengal-sir-the-wall-eci-built-around-electoral-data-and-how-we-broke-through-it/
"12 मार्च 2026 की वह दोपहर श्रम अधिकार कार्यकर्ता शिव कुमार के लिए किसी भी अन्य दिन जैसी ही थी. वो दिल्ली यूनिवर्सिटी की छात्रा और छात्र संगठन BSCEM से जुड़ी इलाक्किया के साथ ‘साम्राज्यवाद विरोधी सप्ताह’ की तैयारियों पर चर्चा के लिए सचिन एन. से मिलने दयाल सिंह कॉलेज, दिल्ली पहुंचा था . हालांकि, सचिन को देर हो रही थी, इसलिए वो दोनों कॉलेज की कैंटीन में दोपहर का भोजन कर रहे थे, इस बात से बेखबर कि उन पर पैनी नज़र रखी जा रही थी. जैसे ही वे जेएलएन मेट्रो स्टेशन के गेट नंबर 5 के पास से कॉलेज परिसर से बाहर निकले, उनकी दुनिया अचानक बदल गई.",MISLEADING,hi,altnews,https://www.altnews.in/hindi/case-of-alleged-kidnapping-and-custodial-torture-of-activists-in-delhi-special-cell-under-scrutiny/
"सत्ता को आईना दिखाने वाली पत्रकारिता का कॉरपोरेट और राजनीति, दोनों के नियंत्रण से मुक्त होना बुनियादी ज़रूरत है. और ये तभी संभव है जब जनता ऐसी पत्रकारिता का हर मोड़ पर साथ दे. फ़ेक न्यूज़ और ग़लत जानकारियों के खिलाफ़ इस लड़ाई में हमारी मदद करें. नीचे दिए गए बटन पर क्लिक कर ऑल्ट न्यूज़ को डोनेट करें.",MISLEADING,hi,altnews,https://www.altnews.in/hindi/congress-leaders-shared-an-edited-video-featuring-a-pakistani-panelists-remark-on-chitra-tripathis-makeup/
"आज़म ख़ान समाजवादी पार्टी के मंच पर खड़ा होकर बाबा साहब अंबेडकर के सम्मान में गुस्ताखी कर रहा था और वो कहा रहा था कि ये अंबेडकर भू-माफिया है ये जिस प्लॉट पर खड़ा होता है, उस प्लॉट को कब्ज़ाता है और फिर उंगली उठाकर के कहता है कि अगला प्लॉट आप जाकर कब्ज़ा लीजिए. ये भाषा थी आपके नेता की",MISLEADING,hi,altnews,https://www.altnews.in/hindi/did-formar-bjp-mla-sangeet-som-insulted-dr-ambedkar-by-calling-land-mafia-clipped-video-viral/
"सत्ता को आईना दिखाने वाली पत्रकारिता का कॉरपोरेट और राजनीति, दोनों के नियंत्रण से मुक्त होना बुनियादी ज़रूरत है. और ये तभी संभव है जब जनता ऐसी पत्रकारिता का हर मोड़ पर साथ दे. फ़ेक न्यूज़ और ग़लत जानकारियों के खिलाफ़ इस लड़ाई में हमारी मदद करें. नीचे दिए गए बटन पर क्लिक कर ऑल्ट न्यूज़ को डोनेट करें.",MISLEADING,hi,altnews,https://www.altnews.in/hindi/fake-chart-shows-covid-19-variant-timeline-predicting-release-dates/
‘स्पेशल इंटेंसिव रिविज़न’ डेटा को एक्सेस करने के लिए भारत के चुनाव आयोग की बाधाओं को तोड़ने के कुछ दिनों बाद हमने उसी अभ्यास को चार और निर्वाचन क्षेत्रों में बढ़ाया. ज्ञात हो कि ऑल्ट न्यूज़ ने खुलासा किया था कि भवानीपुर और बालीगंज में एक मुस्लिम मतदाता को हिंदू मतदाता की तुलना में ‘विचाराधीन’ के रूप में मार्क किए जाने की संभावना 3.1 गुना ज़्यादा थी.,MISLEADING,hi,altnews,https://www.altnews.in/hindi/four-more-bengal-constituencies-same-pattern-muslims-disproportionately-marked-under-adjudication-in-sir/
"Tum Holi par IED lagaoge, To Hum #Eid par Holi manayenge. #Holi is Holy #EidMubarak uttamnagar !! pic.twitter.com/4EBHNUTczT — Wondering Woman (@indiclogic) March 23, 2026",MISLEADING,en,altnews,https://www.altnews.in/hindi/hindus-celebrating-holi-on-eid-in-uttam-nagar-old-video-from-karnataka-falsely-viral/
